<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.06.02	30.2100	30.2400	30.1800	30.2050	710	0	0
2011.06.03	30.2000	30.2550	30.1750	30.1750	490	0	0
2011.06.05	30.1500	30.1800	30.1350	30.1400	63	0	0
2011.06.06	30.1550	30.2050	30.1500	30.1850	373	0	0
2011.06.07	30.1900	30.2350	30.1550	30.1750	536	0	0
2011.06.08	30.1800	30.3000	30.1750	30.2900	707	0	0
2011.06.09	30.2950	30.3700	30.2900	30.3150	650	0	0
2011.06.10	30.3150	30.3500	30.2800	30.3150	481	0	0
2011.06.12	30.2800	30.3350	30.2800	30.3350	15	0	0
2011.06.13	30.3500	30.3900	30.3400	30.3500	440	0	0
2011.06.14	30.3550	30.3900	30.3300	30.3550	590	0	0
2011.06.15	30.3600	30.4750	30.3400	30.4750	606	0	0
2011.06.16	30.4800	30.5600	30.4700	30.5250	736	0	0
2011.06.17	30.5250	30.5350	30.4300	30.4300	472	0	0
2011.06.19	30.4100	30.4400	30.4100	30.4350	6	0	0
2011.06.20	30.4500	30.5200	30.4500	30.4650	500	0	0
2011.06.21	30.4650	30.4850	30.3750	30.3900	561	0	0
2011.06.22	30.3950	30.4050	30.3000	30.3700	665	0	0
2011.06.23	30.3750	30.5550	30.3700	30.5050	711	0	0
2011.06.24	30.5100	30.6200	30.4850	30.6150	805	0	0
2011.06.26	30.6000	30.6150	30.5050	30.6100	31	0	0
2011.06.27	30.6250	30.8450	30.6250	30.8100	1008	0	0
2011.06.28	30.8150	30.9050	30.7950	30.8600	826	0	0
2011.06.29	30.8650	30.8750	30.6700	30.6900	1143	0	0
2011.06.30	30.6950	30.6950	30.5550	30.6400	1381	0	0
2011.07.01	30.6350	30.7400	30.6150	30.6150	928	0	0
2011.07.03	30.5200	30.5550	30.3650	30.4550	244	0	0
2011.07.04	30.4550	30.4650	30.3200	30.3400	1024	0	0
2011.07.05	30.3450	30.4600	30.3100	30.3900	709	0	0
2011.07.06	30.3950	30.4150	30.3250	30.3250	787	0	0
2011.07.07	30.3200	30.3250	30.1650	30.1700	1226	0	0
2011.07.08	30.1650	30.1750	30.0000	30.1300	1334	0	0
2011.07.10	30.1000	30.1550	30.1000	30.1350	40	0	0
2011.07.11	30.1300	30.2550	30.1300	30.2500	989	0	0
2011.07.12	30.2550	30.3850	30.1650	30.1800	1495	0	0
2011.07.13	30.1800	30.2050	29.8900	29.9150	1454	0	0
