Data loaded: 3761 bars (XAUUSD + USDTHB merged)
Date range: 2011-06-02 → 2025-12-31
Price range: 1199.00 → 4546.24 THB/gram

Walk-forward windows: 16

Engine config:
  Initial capital  : 1500.00 THB
  Spread           : 0.3%
  Min trade        : 1000.00 THB
  Force liquidation: True

=========================================================================================================
  WALK-FORWARD COMPARISON
=========================================================================================================
Model        Q/Year    Initial      Final  Return(THB)  Return(%)      MaxDD   Sharpe  SpreadCost  VC Return
------------------------------------------------------------------------------------------------------------
gemini      Q1/2022    1500.00    1576.34     +76.34      +5.09%     29.62    4.3367      23.26     1538.17
groq        Q1/2022    1500.00    1482.98     -17.02      -1.13%     69.73   -0.5253      15.56     1482.98
claude      Q1/2022    1500.00    1506.88      +6.88      +0.46%     79.86    0.4627      18.05     1503.44
gemini      Q2/2022    1500.00    1496.14      -3.86      -0.26%     16.17   -0.2938      24.82     1496.14
groq        Q2/2022    1500.00    1515.33     +15.33      +1.02%     10.93    2.0505      20.41     1507.66
claude      Q2/2022    1500.00    1541.62     +41.62      +2.77%     17.23    3.9740      18.33     1520.81
gemini      Q3/2022    1500.00    1474.04     -25.96      -1.73%     37.29   -2.8012      22.34     1474.04
groq        Q3/2022    1500.00    1484.88     -15.12      -1.01%     39.61   -1.6340      22.37     1484.88
claude      Q3/2022    1500.00    1495.80      -4.20      -0.28%     18.26   -0.7060       8.95     1495.80
gemini      Q4/2022    1500.00    1455.80     -44.20      -2.95%     45.06   -9.2386      22.08     1455.80
groq        Q4/2022    1500.00    1481.76     -18.24      -1.22%     20.39   -2.1758      17.83     1481.76
claude      Q4/2022    1500.00    1496.82      -3.18      -0.21%     18.11   -0.1001      13.43     1496.82
gemini      Q1/2023    1500.00    1498.62      -1.38      -0.09%     36.35   -0.0755      22.53     1498.62
groq        Q1/2023    1500.00    1488.58     -11.42      -0.76%     27.78   -0.7216      26.92     1488.58
claude      Q1/2023    1500.00    1549.98     +49.98      +3.33%     17.73    3.3790       9.07     1524.99
gemini      Q2/2023    1500.00    1434.78     -65.22      -4.35%     62.97   -9.7247      30.66     1434.78
groq        Q2/2023    1500.00    1465.51     -34.49      -2.30%     41.14   -5.7965      26.50     1465.51
claude      Q2/2023    1500.00    1480.21     -19.79      -1.32%     22.29   -3.2583      13.40     1480.21
gemini      Q3/2023    1500.00    1469.97     -30.03      -2.00%     35.12   -4.3220      26.92     1469.97
groq        Q3/2023    1500.00    1484.93     -15.07      -1.00%     35.47   -1.7220      27.03     1484.93
claude      Q3/2023    1500.00    1482.56     -17.44      -1.16%     17.63   -4.9245       8.97     1482.56
gemini      Q4/2023    1500.00    1458.04     -41.96      -2.80%     40.17   -4.6572      26.48     1458.04
groq        Q4/2023    1500.00    1458.85     -41.15      -2.74%     42.17   -6.6479      24.19     1458.85
claude      Q4/2023    1500.00    1439.92     -60.08      -4.01%     57.83   -8.6021      17.48     1439.92
gemini      Q1/2024    1500.00    1549.57     +49.57      +3.30%      3.83    7.5586      27.50     1524.78
groq        Q1/2024    1500.00    1550.09     +50.09      +3.34%      6.10    8.1999      18.33     1525.05
claude      Q1/2024    1500.00    1516.96     +16.96      +1.13%      3.75    5.6288      13.59     1508.48
gemini      Q2/2024    1500.00    1450.35     -49.65      -3.31%     53.86   -3.2891      24.17     1450.35
groq        Q2/2024    1500.00    1507.53      +7.53      +0.50%     17.39    1.1792      18.04     1503.76
claude      Q2/2024    1500.00    1489.93     -10.07      -0.67%     24.82   -0.9367      13.38     1489.93
gemini      Q3/2024    1500.00    1471.40     -28.60      -1.91%     26.35   -4.5976      31.15     1471.40
groq        Q3/2024    1500.00    1459.85     -40.15      -2.68%     39.16   -6.4402      22.10     1459.85
claude      Q3/2024    1500.00    1531.28     +31.28      +2.09%     10.23    3.9943      13.62     1515.64
gemini      Q4/2024    1500.00    1403.85     -96.15      -6.41%     93.90  -11.6314      26.04     1403.85
groq        Q4/2024    1500.00    1475.67     -24.33      -1.62%     24.33   -3.5170      22.29     1475.67
claude      Q4/2024    1500.00    1488.11     -11.89      -0.79%     27.73   -1.0995       8.96     1488.11
gemini      Q1/2025    1500.00    1505.88      +5.88      +0.39%     11.59    1.4444      26.96     1502.94
groq        Q1/2025    1500.00    1525.51     +25.51      +1.70%     14.91    2.9535      20.49     1512.76
claude      Q1/2025    1500.00    1516.36     +16.36      +1.09%     12.93    2.8991       9.00     1508.18
gemini      Q2/2025    1500.00    1433.13     -66.87      -4.46%     79.74   -6.2541      24.30     1433.13
groq        Q2/2025    1500.00    1422.50     -77.50      -5.17%     75.25   -8.9004      28.54     1422.50
claude      Q2/2025    1500.00    1472.47     -27.53      -1.84%     25.28   -4.0369      13.39     1472.47
gemini      Q3/2025    1500.00    1504.72      +4.72      +0.31%     17.66    0.8942      31.70     1502.36
groq        Q3/2025    1500.00    1536.78     +36.78      +2.45%     11.57    4.8264      27.36     1518.39
claude      Q3/2025    1500.00    1548.09     +48.09      +3.21%      5.61    5.9611      13.81     1524.05
gemini      Q4/2025    1500.00    1488.23     -11.77      -0.78%     13.74   -1.8699      29.14     1488.23
groq        Q4/2025    1500.00    1488.13     -11.87      -0.79%     20.13   -1.7383      24.64     1488.13
claude      Q4/2025    1500.00    1574.54     +74.54      +4.97%      9.18    7.4860       9.16     1537.27
=========================================================================================================

TEST PASSED — Portfolio Backtest Engine works correctly!
