Datetime,Buy,Sell
2026-02-03 01.55,70690,70840
2026-02-03 06.05,70770,70920
2026-02-03 06.10,71550,71700
2026-02-03 06.15,71820,71970
2026-02-03 06.20,72050,72200
2026-02-03 06.25,71740,71890
2026-02-03 06.30,71630,71780
2026-02-03 06.35,71800,71950
2026-02-03 06.40,71670,71820
2026-02-03 06.45,71850,72000
2026-02-03 06.50,71880,72030
2026-02-03 06.55,72020,72170
2026-02-03 07.00,72200,72350
2026-02-03 07.05,71990,72140
2026-02-03 07.10,72090,72240
2026-02-03 07.15,72180,72330
2026-02-03 07.20,72300,72450
2026-02-03 07.25,72250,72400
2026-02-03 07.30,72280,72430
2026-02-03 07.35,72210,72360
2026-02-03 07.40,72260,72410
2026-02-03 07.45,71950,72100
2026-02-03 07.50,71960,72110
2026-02-03 07.55,71760,71910
2026-02-03 08.00,72110,72260
2026-02-03 08.05,72110,72260
2026-02-03 08.10,72170,72320
2026-02-03 08.15,72200,72350
2026-02-03 08.20,72250,72400
2026-02-03 08.25,72330,72480
2026-02-03 08.30,72260,72410
2026-02-03 08.35,72140,72290
2026-02-03 08.40,72270,72420
2026-02-03 08.45,71970,72120
2026-02-03 08.50,72100,72250
2026-02-03 08.55,72240,72390
2026-02-03 09.00,71980,72130
2026-02-03 09.05,71940,72090
2026-02-03 09.10,71850,72000
2026-02-03 09.15,71630,71780
2026-02-03 09.20,71790,71940
2026-02-03 09.25,71590,71740
2026-02-03 09.30,71620,71770
2026-02-03 09.35,71670,71820
2026-02-03 09.40,71370,71520
2026-02-03 09.45,71460,71610
2026-02-03 09.50,71480,71630
2026-02-03 09.55,71630,71780
2026-02-03 10.00,71690,71840
2026-02-03 10.05,71500,71650
2026-02-03 10.10,71380,71530
2026-02-03 10.15,71430,71580
2026-02-03 10.20,71410,71560
2026-02-03 10.25,71480,71630
2026-02-03 10.30,71570,71720
2026-02-03 10.35,71750,71900
2026-02-03 10.40,71770,71920
2026-02-03 10.45,71640,71790
2026-02-03 10.50,71700,71850
2026-02-03 10.55,71920,72070
2026-02-03 11.00,71920,72070
2026-02-03 11.05,71890,72040
2026-02-03 11.10,71800,71950
2026-02-03 11.15,71900,72050
2026-02-03 11.20,71750,71900
2026-02-03 11.25,71900,72050
2026-02-03 11.30,71990,72140
2026-02-03 11.35,71930,72080
2026-02-03 11.40,71830,71980
2026-02-03 11.45,71850,72000
2026-02-03 11.50,71850,72000
2026-02-03 11.55,71810,71960
2026-02-03 12.00,71910,72060
2026-02-03 12.05,71930,72080
2026-02-03 12.10,71880,72030
2026-02-03 12.15,71980,72130
2026-02-03 12.20,71970,72120
2026-02-03 12.25,72160,72310
2026-02-03 12.30,72040,72190
2026-02-03 12.35,71990,72140
2026-02-03 12.40,71820,71970
2026-02-03 12.45,71960,72110
2026-02-03 12.50,71900,72050
2026-02-03 12.55,71910,72060
2026-02-03 13.00,71880,72030
2026-02-03 13.05,71980,72130
2026-02-03 13.10,72180,72330
2026-02-03 13.15,72220,72370
2026-02-03 13.20,72290,72440
2026-02-03 13.25,72450,72600
2026-02-03 13.30,72480,72630
2026-02-03 13.35,72480,72630
2026-02-03 13.40,72730,72880
2026-02-03 13.45,72480,72630
2026-02-03 13.50,72520,72670
2026-02-03 13.55,72620,72770
2026-02-03 14.00,72590,72740
2026-02-03 14.05,72590,72740
2026-02-03 14.10,72660,72810
2026-02-03 14.15,72530,72680
2026-02-03 14.20,72660,72810
2026-02-03 14.25,72750,72900
2026-02-03 14.30,72880,73030
2026-02-03 14.35,72980,73130
2026-02-03 14.40,72930,73080
2026-02-03 14.45,72970,73120
2026-02-03 14.50,72990,73140
2026-02-03 14.55,72890,73040
2026-02-03 15.00,72880,73030
2026-02-03 15.05,73020,73170
2026-02-03 15.10,73170,73320
2026-02-03 15.15,73340,73490
2026-02-03 15.20,73280,73430
2026-02-03 15.25,73320,73470
2026-02-03 15.30,73290,73440
2026-02-03 15.35,73340,73490
2026-02-03 15.40,73340,73490
2026-02-03 15.45,73310,73460
2026-02-03 15.50,73380,73530
2026-02-03 15.55,73190,73340
2026-02-03 16.00,73180,73330
2026-02-03 16.05,73270,73420
2026-02-03 16.10,73230,73380
2026-02-03 16.15,73120,73270
2026-02-03 16.20,73080,73230
2026-02-03 16.25,73040,73190
2026-02-03 16.30,73100,73250
2026-02-03 16.35,73260,73410
2026-02-03 16.40,73360,73510
2026-02-03 16.45,73360,73510
2026-02-03 16.50,73310,73460
2026-02-03 16.55,73310,73460
2026-02-03 17.00,73350,73500
2026-02-03 17.05,73380,73530
2026-02-03 17.10,73390,73540
2026-02-03 17.15,73330,73480
2026-02-03 17.20,73340,73490
2026-02-03 17.25,73300,73450
2026-02-03 17.30,73380,73530
2026-02-03 17.35,73320,73470
2026-02-03 17.40,73420,73570
2026-02-03 17.45,73380,73530
2026-02-03 17.50,73340,73490
2026-02-03 17.55,73210,73360
2026-02-03 18.00,73200,73350
2026-02-03 18.05,73260,73410
2026-02-03 18.10,73280,73430
2026-02-03 18.15,73160,73310
2026-02-03 18.20,73010,73160
2026-02-03 18.25,73180,73330
2026-02-03 18.30,73320,73470
2026-02-03 18.35,73310,73460
2026-02-03 18.40,73310,73460
2026-02-03 18.45,73270,73420
2026-02-03 18.50,73200,73350
2026-02-03 18.55,73320,73470
2026-02-03 19.00,73470,73620
2026-02-03 19.05,73430,73580
2026-02-03 19.10,73430,73580
2026-02-03 19.15,73340,73490
2026-02-03 19.20,73140,73290
2026-02-03 19.25,73190,73340
2026-02-03 19.30,73320,73470
2026-02-03 19.35,73270,73420
2026-02-03 19.40,73250,73400
2026-02-03 19.45,73270,73420
2026-02-03 19.50,73220,73370
2026-02-03 19.55,73260,73410
2026-02-03 20.00,73280,73430
2026-02-03 20.05,73370,73520
2026-02-03 20.10,73410,73560
2026-02-03 20.15,73340,73490
2026-02-03 20.20,73370,73520
2026-02-03 20.25,73450,73600
2026-02-03 20.30,73460,73610
2026-02-03 20.35,73410,73560
2026-02-03 20.40,73540,73690
2026-02-03 20.45,73570,73720
2026-02-03 20.50,73470,73620
2026-02-03 20.55,73510,73660
2026-02-03 21.00,73480,73630
2026-02-03 21.05,73520,73670
2026-02-03 21.10,73520,73670
2026-02-03 21.15,73380,73530
2026-02-03 21.20,73380,73530
2026-02-03 21.25,73490,73640
2026-02-03 21.30,73320,73470
2026-02-03 21.35,73460,73610
2026-02-03 21.40,73450,73600
2026-02-03 21.45,73520,73670
2026-02-03 21.50,73520,73670
2026-02-03 21.55,73430,73580
2026-02-03 22.00,73500,73650
2026-02-03 22.05,73560,73710
2026-02-03 22.10,73600,73750
2026-02-03 22.15,73560,73710
2026-02-03 22.20,73390,73540
2026-02-03 22.25,73520,73670
2026-02-03 22.30,73490,73640
2026-02-03 22.35,73490,73640
2026-02-03 22.40,73550,73700
2026-02-03 22.45,73560,73710
2026-02-03 22.50,73670,73820
2026-02-03 22.55,73710,73860
2026-02-03 23.00,73750,73900
2026-02-03 23.05,73750,73900
2026-02-03 23.10,73840,73990
2026-02-03 23.15,74160,74310
2026-02-03 23.20,74300,74450
