<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.22	15:15:00	65160	65200	65137	65158	2790	0	11
2025.12.22	15:20:00	65160	65170	65012	65026	2750	0	19
2025.12.22	15:25:00	65042	65120	65008	65103	2524	0	11
2025.12.22	15:30:00	65109	65164	65094	65118	2117	0	19
2025.12.22	15:35:00	65120	65142	65090	65116	1479	0	12
2025.12.22	15:40:00	65124	65184	65109	65142	2342	0	19
2025.12.22	15:45:00	65140	65196	65123	65146	2312	0	12
2025.12.22	15:50:00	65146	65158	65061	65089	2377	0	11
2025.12.22	15:55:00	65090	65152	65077	65144	2227	0	11
2025.12.22	16:00:00	65142	65199	65121	65158	2175	0	13
2025.12.22	16:05:00	65158	65184	65124	65149	1476	0	13
2025.12.22	16:10:00	65151	65208	65149	65182	1509	0	11
2025.12.22	16:15:00	65184	65217	65142	65190	1697	0	19
2025.12.22	16:20:00	65207	65227	65136	65214	2283	0	11
2025.12.22	16:25:00	65174	65225	65147	65194	2087	0	19
2025.12.22	16:30:00	65197	65201	65025	65094	3986	0	13
2025.12.22	16:35:00	65096	65175	65049	65086	3467	0	13
2025.12.22	16:40:00	65082	65187	65051	65151	3301	0	19
2025.12.22	16:45:00	65144	65236	65117	65199	3385	0	19
2025.12.22	16:50:00	65197	65229	65128	65177	3479	0	11
2025.12.22	16:55:00	65191	65211	65061	65085	2880	0	11
2025.12.22	17:00:00	65087	65153	65077	65102	3046	0	19
2025.12.22	17:05:00	65104	65132	65040	65097	2454	0	19
2025.12.22	17:10:00	65095	65100	64999	65042	3250	0	19
2025.12.22	17:15:00	65044	65084	64985	65045	3329	0	19
2025.12.22	17:20:00	65043	65090	64996	65030	2698	0	19
2025.12.22	17:25:00	65032	65077	64978	65057	2657	0	11
2025.12.22	17:30:00	65050	65155	65029	65150	2933	0	19
2025.12.22	17:35:00	65152	65180	65118	65151	2547	0	12
2025.12.22	17:40:00	65148	65190	65129	65185	2247	0	11
2025.12.22	17:45:00	65183	65240	65155	65231	2689	0	11
2025.12.22	17:50:00	65232	65263	65212	65247	1921	0	15
2025.12.22	17:55:00	65248	65311	65228	65243	2143	0	13
2025.12.22	18:00:00	65245	65262	65175	65230	2129	0	19
2025.12.22	18:05:00	65228	65332	65196	65276	2726	0	11
2025.12.22	18:10:00	65276	65334	65241	65322	2172	0	11
2025.12.22	18:15:00	65320	65348	65274	65326	2292	0	11
2025.12.22	18:20:00	65341	65352	65283	65320	2202	0	11
2025.12.22	18:25:00	65318	65341	65279	65309	2299	0	11
2025.12.22	18:30:00	65311	65377	65259	65270	2595	0	20
2025.12.22	18:35:00	65270	65354	65263	65296	1839	0	20
2025.12.22	18:40:00	65311	65337	65286	65293	1462	0	11
2025.12.22	18:45:00	65293	65321	65257	65282	1559	0	11
2025.12.22	18:50:00	65290	65313	65243	65278	1438	0	13
2025.12.22	18:55:00	65293	65333	65262	65313	1347	0	13
2025.12.22	19:00:00	65315	65328	65251	65314	1140	0	19
2025.12.22	19:05:00	65307	65339	65261	65327	1343	0	19
2025.12.22	19:10:00	65329	65368	65277	65364	1285	0	19
2025.12.22	19:15:00	65322	65373	65292	65310	1750	0	19
2025.12.22	19:20:00	65307	65329	65287	65302	1493	0	19
2025.12.22	19:25:00	65291	65315	65239	65247	1354	0	19
2025.12.22	19:30:00	65253	65293	65201	65229	1624	0	19
2025.12.22	19:35:00	65215	65292	65203	65273	1343	0	19
