Datetime,open,High,Low,Close,Volume,gold_spot_usd,usd_thb_rate
2025-12-22 15:15:00,65160,65200,65137,65158,2790,4423.21,31.15
2025-12-22 15:20:00,65160,65170,65012,65026,2750,4413.84,31.153
2025-12-22 15:25:00,65042,65120,65008,65103,2524,4418.63,31.156
2025-12-22 15:30:00,65109,65164,65094,65118,2117,4421.52,31.143
2025-12-22 15:35:00,65120,65142,65090,65116,1479,4422.38,31.136
2025-12-22 15:40:00,65124,65184,65109,65142,2342,4423.88,31.138
2025-12-22 15:45:00,65140,65196,65123,65146,2312,4423.58,31.142
2025-12-22 15:50:00,65146,65158,65061,65089,2377,4420.52,31.136
2025-12-22 15:55:00,65090,65152,65077,65144,2227,4423.7,31.14
2025-12-22 16:00:00,65142,65199,65121,65158,2175,4423.79,31.146
2025-12-22 16:05:00,65158,65184,65124,65149,1476,4423.92,31.141
2025-12-22 16:10:00,65151,65208,65149,65182,1509,4426.3,31.14
2025-12-22 16:15:00,65184,65217,65142,65190,1697,4427.55,31.135
2025-12-22 16:20:00,65207,65227,65136,65214,2283,4428.49,31.14
2025-12-22 16:25:00,65174,65225,65147,65194,2087,4426.42,31.145
2025-12-22 16:30:00,65197,65201,65025,65094,3986,4418.72,31.151
2025-12-22 16:35:00,65096,65175,65049,65086,3467,4417.22,31.158
2025-12-22 16:40:00,65082,65187,65051,65151,3301,4423.03,31.148
2025-12-22 16:45:00,65144,65236,65117,65199,3385,4426.61,31.146
2025-12-22 16:50:00,65197,65229,65128,65177,3479,4426.49,31.136
2025-12-22 16:55:00,65191,65211,65061,65085,2880,4419.25,31.143
2025-12-22 17:00:00,65087,65153,65077,65102,3046,4420.83,31.14
2025-12-22 17:05:00,65104,65132,65040,65097,2454,4421.11,31.136
2025-12-22 17:10:00,65095,65100,64999,65042,3250,4416.04,31.145
2025-12-22 17:15:00,65044,65084,64985,65045,3329,4416.83,31.141
2025-12-22 17:20:00,65043,65090,64996,65030,2698,4416.55,31.136
2025-12-22 17:25:00,65032,65077,64978,65057,2657,4418.06,31.138
2025-12-22 17:30:00,65050,65155,65029,65150,2933,4424.99,31.134
2025-12-22 17:35:00,65152,65180,65118,65151,2547,4425.44,31.131
2025-12-22 17:40:00,65148,65190,65129,65185,2247,4427.75,31.131
2025-12-22 17:45:00,65183,65240,65155,65231,2689,4431.02,31.13
2025-12-22 17:50:00,65232,65263,65212,65247,1921,4431.25,31.136
2025-12-22 17:55:00,65248,65311,65228,65243,2143,4431.84,31.13
2025-12-22 18:00:00,65245,65262,65175,65230,2129,4430.69,31.132
2025-12-22 18:05:00,65228,65332,65196,65276,2726,4434.65,31.126
2025-12-22 18:10:00,65276,65334,65241,65322,2172,4438.06,31.124
2025-12-22 18:15:00,65320,65348,65274,65326,2292,4439.63,31.115
2025-12-22 18:20:00,65341,65352,65283,65320,2202,4438.36,31.121
2025-12-22 18:25:00,65318,65341,65279,65309,2299,4437.79,31.12
2025-12-22 18:30:00,65311,65377,65259,65270,2595,4433.85,31.129
2025-12-22 18:35:00,65270,65354,65263,65296,1839,4436.91,31.12
2025-12-22 18:40:00,65311,65337,65286,65293,1462,4435.96,31.125
2025-12-22 18:45:00,65293,65321,65257,65282,1559,4436.47,31.116
2025-12-22 18:50:00,65290,65313,65243,65278,1438,4436.25,31.116
2025-12-22 18:55:00,65293,65333,65262,65313,1347,4438.76,31.115
2025-12-22 19:00:00,65315,65328,65251,65314,1140,4438.08,31.12
2025-12-22 19:05:00,65307,65339,65261,65327,1343,4438.97,31.12
2025-12-22 19:10:00,65329,65368,65277,65364,1285,4441.52,31.12
2025-12-22 19:15:00,65322,65373,65292,65310,1750,4437.66,31.121
